"ordre","nom","icone","description","conseil","url_reference"
"1","Sefran et bulletin","📊","Vérifier que les dépouillements Sefran PF et Mayotte ont bien été effectués et que les bulletins ont été envoyés. Contrôler également la liste d'appel d'astreinte.","Les bulletins doivent être envoyés avant 9h00. En cas de doute sur le Sefran, contacter le sismologue de permanence.","https://webobs.ovpf.ipgp.fr/cgi-bin/sefran3.pl?header=1"
"2","Alarme anti-intrusion","🔒","Vérifier l'état du système d'alarme anti-intrusion de l'observatoire.","Si l'alarme est déclenchée ou en défaut, contacter immédiatement le responsable sécurité.","http://195.83.188.219/keypad.cgi"
"3","Caméras","📷","Vérifier que chaque caméra de surveillance volcanique est opérationnelle, affiche une image correcte et est synchronisée à l'heure. Contrôler l'image via WebObs pour chaque site.","Une caméra 'à l'heure' signifie que l'horodatage visible sur l'image correspond à l'heure courante ± 2 minutes. En cas de caméra hors service, noter le nom exact dans la remarque.","https://webobs.ovpf.ipgp.fr/php/cameras/camera.php"
"4","Alarme sismique RSAM","🌋","Vérifier les alarmes RSAM (Real-time Seismic Amplitude Measurement) pour chaque station du réseau. Le seuil est fixé à 0.8 pour toutes les stations. Une alarme déclenchée peut indiquer une activité sismique anormale.","Si plusieurs stations dépassent le seuil simultanément, contacter immédiatement le sismologue de permanence. Vérifier d'abord que ce n'est pas un artefact (orage, bruit anthropique).","https://webobs.ovpf.ipgp.fr/php/sismo/affich_rsam_rt_sorted.php?duration=120"
"5","Alarme sismique EW Songe","⚠️","Tester l'alarme séisme EW Songe pour s'assurer qu'elle est opérationnelle et prête à se déclencher en cas d'événement.","Le test doit être effectué chaque jour. En cas d'échec du test, noter l'heure et contacter le responsable télécoms.","https://webobs.ovpf.ipgp.fr/php/alarme/index.php?ovpf=1"
"6","Graphes","📈","Vérifier que l'ensemble des graphes de surveillance sont mis à jour et affichent des données récentes. Contrôler SefraN, RSAM, Jerk RER, CovSeisNet, NOVAC, CO2, Multigaz et UDMN.","Un graphe 'à jour' doit afficher des données datant de moins de 2 heures pour les données temps réel, et de moins de 24h pour les traitements différés. Toute interruption doit être signalée.","https://webobs.ovpf.ipgp.fr/cgi-bin/sefran3.pl?header=1"
"7","GNSS","🛰️","Vérifier l'état des solutions GNSS GIPSY pour La Réunion (PF) et GipsyX pour Mayotte. Contrôler que les cartes et graphes de déformation sont à jour et que le traitement automatique fonctionne correctement.","La solution GNSS est calculée automatiquement chaque nuit. Si des stations manquent dans le résumé, vérifier d'abord la connectivité réseau avant de créer un ticket.","https://webobs.ovpf.ipgp.fr/cgi-bin/showOUTG.pl?grid=PROC.GIPSYX&ts=60d&g=MODELLING_pCDM"
"8","Déformation","📐","Vérifier que les graphes des capteurs de déformation (inclinomètres et extensomètres) sont à jour et affichent des données cohérentes.","Une variation brutale sur un inclinomètre peut indiquer une déformation volcanique significative. Signaler immédiatement au sismologue/géodésien de permanence tout signal anormal.","https://webobs.ovpf.ipgp.fr/php/inclino/vecteurs.php"
"9","Météo / Pluvio","🌧️","Vérifier l'état des pluviomètres et de la station météo. Contrôler que les graphes sont à jour et que les capteurs transmettent correctement.","Les pluviomètres sont critiques pour l'interprétation des données géochimiques (dilution des gaz). En cas de panne, noter la date d'arrêt dans la remarque.","https://webobs.ovpf.ipgp.fr/cgi-bin/showOUTG.pl?grid=PROC.PLUVIO&refresh=3600&header=&ts=07d&g=col"
"10","Sismique qualité","🎯","Contrôler la qualité des données sismiques : vérifier l'absence de gaps, le bon fonctionnement des composantes continues et la qualité du signal sur l'ensemble du réseau sismologique.","La page de qualité affiche les données de la veille (J-1). Un taux de disponibilité inférieur à 90% sur une station doit être investigué.",""
"11","Réseau général","🖥️","Vérifier l'état général du réseau informatique d'acquisition via Nagios : serveurs, liens de communication, programmes d'acquisition et logiciel Radex.","Nagios affiche en rouge les services en alarme. Distinguer les alertes critiques (acquisition arrêtée) des alertes mineures (latence réseau). Prioriser les alertes sur les programmes d'acquisition.","http://172.16.100.17/nagios/cgi-bin/status.cgi?hostgroup=routine&style=hostdetail"
"12","Onduleur","🔋","Relever les valeurs de l'onduleur principal : taux de charge et capacité batterie. Ces valeurs permettent de surveiller l'état de l'alimentation électrique de secours.","Un taux de charge > 80% ou une capacité batterie < 50% doivent être signalés. En cas de panne secteur, l'onduleur prend le relais automatiquement.","http://195.83.188.242/"
"13","Groupe électrogène","⚡","Relever les paramètres du groupe électrogène : mode de fonctionnement, tension batterie, niveau carburant (cuve interne et grande cuve), compteur horaire.","Le niveau de carburant doit être surveillé attentivement. Prévoir un réapprovisionnement quand la cuve interne passe sous 30% ou la grande cuve sous 20%.","http://10.10.1.252/cgi-bin/testL3B.py"
"14","Divers","📋","Vérifications diverses : registre d'astreinte, défibrillateur (en début de semaine), renvoi GSM, envoi des bulletins quotidiens OVPF et Revosima à Paris.","Le registre d'astreinte doit être complété avant la fin de la routine. Les bulletins OVPF et Revosima doivent être envoyés à Paris avant 10h00.",""
